season,episode,year,title,crime,n_victims,v_sex,v_race,n_criminals,c_sex,c_race,Data in Google forms,notes
16,15,2015,Undercover Mother,Forced prostitution,6,Female,"3 white, 2 hispanic, 1 asian",4,"3 male, 1 female","2 black, 1 white, 1 hispanic",,
16,16,2015,December Solstice,Rape,1,Male,White,1,Female,White,,
16,17,2015,Parole Violations,Rape,2,Male,"1 white, 1 black",1,Female,White,,
16,18,2015,Devastating Story,Rape,1,Female,White,1,Male,White,,
16,19,2015,Granting Immunity,Reckless disregard,1,Male,White,1,Female,White,,
16,20,2015,Daydream Believer,"Rape, murder",5,Female,White,1,Male,White,,
16,21,2015,Perverted Justice,No crime,0,-,-,0,-,-,,"Episode is the aftermath of crimes from previous episodes, registered in other entries"
16,22,2015,Parents' Nightmare,Kidnapping,1,Male,White,2,Male,"1 hispanic, 1 white",,Victim and white criminal are from the Middle East or Middle Eastern descent
16,23,2015,Surrendering Noah,"Murder, assault, murder",5,"3 male, 2 female","2 hispanic, 2 white, 1 black",2,"1 male, 1 female","1 white, 1 hispanic",,
17,01--02,2015,Devil's Dissections / Criminal Pathology,"Murder, rape",3,Female,White,2,Male,White,,
17,3,2015,Transgender Bridge,Murder,1,Female*,White,1,Male,Black,,*Transgender
17,4,2015,Institutional Fail,"Child abandonment, murder",2,"1 male, 1 female",Hispanic,3,"2 female, 1 male","1 hispanic, 1 white, 1 black",,
17,5,2015,Community Policing,"Rape, murder",4,"2 female, 2 male","3 white, 1 black",5,Male,"1 black, 3 white, 1 unknown",,
17,6,2015,Maternal Instincts,Rape,1,Female,White,1,Male,White,,
17,7,2015,Patrimonial Burden,Statutory rape,2,Female,White,1,Male,White,,
17,8,2015,Melancholy Pursuit,Murder,1,Female,White,1,Male,White,,
17,9,2015,Depravity Standard,Murder,1,Male,Hispanic,1,Male,White,,
17,10,2016,Catfishing Teacher,"Statutory rape, kidnapping, rape, murder",4,Male,White,3,"1 female, 2 male",White,,
17,11,2016,Townhouse Incident,"Hostage situation, assault, rape",5,"3 female, 2 male",White,3,"2 male, 1 female",White,,
17,12,2016,A Misunderstanding,Rape,1,Female,White,1,Male,White,,
17,13,2016,Forty-One Witnesses,Rape,1,Female,White,3,Male,Black,,
17,14,2016,Nationwide Manhunt,"Murder, kidnapping, assault, rape",8,"2 female, 6 male","6 white, 2 unknown",2,Male,White,,
17,15,2016,Collateral Damages,Child pornography,Unknown,Unknown,Unknown,2,Male,"1 black, 1 white",,"Case is about the uncovering of a child porn ring; numerous children were victims, but the number is unclear"
17,16,2016,Star-Struck Victims,Rape,1,Female,White,2,Male,White,,
17,17--18,2016,Manhattan Transfer / Unholiest Alliance,"Murder, rape, sex trafficking",5,Female,"3 white, 1 hispanic, 1 black",2,Male,"1 black, 1 white",,
17,19,2016,Sheltered Outcasts,"Rape, murder",6,Female,"4 white, 2 black",2,Male,White,,
17,20,2016,Fashionable Crimes,Rape,4,Female,White,3,"1 male, 2 female","2 white, 1 asian",,
17,21,2016,Assaulting Reality,Rape,1,Female,White,1,Male,White,,
17,22,2016,Intersecting Lives,Rape,5,Female,Black,1,Male,White,,
17,23,2016,Heartfelt Passages,Murder,1,Male,White,1,Male,White,,
